lk_id,lk,bundesland,population,population_male,population_female,lk_movement
9173,Bad Tölz-Wolfratshausen,Bayern,128212,63310,64902,Landkreis Bad Tölz-Wolfratshausen
9174,Dachau,Bayern,155117,77459,77658,Landkreis Dachau
9175,Ebersberg,Bayern,144091,72048,72043,Landkreis Ebersberg
9176,Eichstätt,Bayern,133169,67473,65696,Landkreis Eichstätt
9177,Erding,Bayern,138891,69944,68947,Landkreis Erding
9178,Freising,Bayern,180313,92157,88156,Landkreis Freising
9179,Fürstenfeldbruck,Bayern,218740,107436,111304,Landkreis Fürstenfeldbruck
9180,Garmisch-Partenkirchen,Bayern,88279,42776,45503,Landkreis Garmisch-Partenkirchen
9181,Landsberg am Lech,Bayern,121019,60383,60636,Landkreis Landsberg am Lech
9182,Miesbach,Bayern,100183,48994,51189,Landkreis Miesbach
9183,Mühldorf am Inn,Bayern,116483,58854,57629,Landkreis Mühldorf am Inn
9184,München (Kreisfreie Stadt),Bayern,349685,173797,175888,Landkreis München
9185,Neuburg-Schrobenhausen,Bayern,97730,49112,48618,Landkreis Neuburg-Schrobenhausen
9186,Pfaffenhofen an der Ilm,Bayern,129128,65488,63640,Landkreis Pfaffenhofen an der Ilm
9187,Rosenheim,Bayern,261721,129514,132207,Landkreis Rosenheim
9188,Starnberg,Bayern,136610,66157,70453,Landkreis Starnberg
9189,Traunstein,Bayern,177485,87601,89884,Landkreis Traunstein
9190,Weilheim-Schongau,Bayern,136134,67518,68616,Landkreis Weilheim-Schongau
9261,Landshut (Kreisfreie Stadt),Bayern,73065,35671,37394,Landshut
9262,Passau (Kreisfreie Stadt),Bayern,52415,25486,26929,Passau
9263,Straubing,Bayern,47612,23960,23652,Straubing
9271,Deggendorf,Bayern,119479,59782,59697,Landkreis Deggendorf
9272,Freyung-Grafenau,Bayern,78355,39075,39280,Landkreis Freyung-Grafenau
9273,Kelheim,Bayern,123390,62439,60951,Landkreis Kelheim
9274,Landshut,Bayern,161191,81519,79672,Landkreis Landshut
9275,Passau,Bayern,193454,96000,97454,Landkreis Passau
9276,Regen,Bayern,77313,38543,38770,Landkreis Regen
9277,Rottal-Inn,Bayern,121800,61011,60789,Landkreis Rottal-Inn
